Open,Close,High,Low,Volume,Date
340.86,340.86,340.86,340.86,,05/19/18
341.73,340.86,342.06,340.42,,05/18/18
341.72,341.73,342.59,341.15,,05/17/18
341.17,341.72,342.24,340.67,,05/16/18
344.11,341.17,344.11,340.17,,05/15/18
343.39,344.11,344.92,343.32,,05/14/18
343.37,343.37,343.37,343.37,,05/12/18
341.85,343.37,343.83,341.85,,05/11/18
339.5,341.85,342.55,339.38,,05/10/18
337.4,339.5,339.76,336.92,,05/09/18
337.56,337.4,338.1,336.33,,05/08/18
336.65,337.56,338.38,336.41,,05/07/18
336.44,336.44,336.44,336.44,,05/05/18
334.01,336.44,337.21,332.77,,05/04/18
335.21,334.01,335.35,331.58,,05/03/18
336.57,335.21,337.36,334.85,,05/02/18
337.05,336.57,337.06,334.83,,05/01/18
338.25,337.05,339.37,337,,04/30/18
338.13,338.13,338.13,338.13,,04/28/18
337.18,338.13,338.62,337.18,,04/27/18
334.85,337.18,337.77,334.75,,04/26/18
336,334.85,336.28,332.93,,04/25/18
338.28,336,339.43,335.2,,04/24/18
338.88,338.28,339.04,337.26,,04/23/18
339,339,339,339,,04/21/18
341.86,339,341.86,338.35,,04/20/18
342.65,341.86,343.22,340.76,,04/19/18
341.19,342.65,343.24,341.19,,04/18/18
338.88,341.19,341.76,338.82,,04/17/18
337.6,338.88,339.58,337.38,,04/16/18
337.61,337.61,337.61,337.61,,04/14/18
338.05,337.61,339.5,336.94,,04/13/18
336.87,338.05,338.78,336.2,,04/12/18
337.92,336.87,338.18,336.6,,04/11/18
333.49,337.92,338.54,333.4,,04/10/18
332.33,333.49,336.25,332.27,,04/09/18
332.28,332.28,332.28,332.28,,04/07/18
336.26,332.28,336.66,331.24,,04/06/18
333.13,336.26,336.86,333.13,,04/05/18
331.93,333.13,333.44,328.14,,04/04/18
330.51,331.93,332.16,329.2,,04/03/18
334.69,330.51,334.94,328.75,,04/02/18
334.46,334.46,334.46,334.46,,03/31/18
334.2,334.46,334.86,334.2,,03/30/18
331.53,334.2,335.42,331.06,,03/29/18
333.45,331.53,333.54,330.3,,03/28/18
335.08,333.45,337.8,332.56,,03/27/18
330.18,335.08,335.34,329.78,,03/26/18
335.4,330.21,335.4,330.13,,03/23/18
342.63,336.22,342.98,336.12,,03/22/18
341.81,341.64,343.82,341.58,,03/21/18
341.13,341.89,342.26,340.94,,03/20/18
345.18,341.66,345.2,340.58,,03/19/18
345.14,345.3,346.13,344.92,,03/16/18
345.69,345.37,346.69,344.9,,03/15/18
346.95,345.65,347.97,345.44,,03/14/18
348.61,347.31,350.17,346.77,,03/13/18
347.96,348.55,349.52,347.92,,03/12/18
343.54,347.3,347.33,343.47,,03/09/18
342.39,343.54,343.69,342.32,,03/08/18
342.42,342.03,342.83,340.34,,03/07/18
341.02,342.49,343.06,340.99,,03/06/18
338.21,340.25,340.68,336.62,,03/05/18
338.67,338.17,338.68,335.24,,03/02/18
342.03,338.6,342.57,337.56,,03/01/18
346.33,342.68,346.43,342.62,,02/28/18
350,346.45,350.35,346.4,,02/27/18
346.78,349.37,349.66,346.76,,02/26/18
342.9,346.52,346.52,342.9,,02/23/18
342.36,342.66,344.61,341.36,,02/22/18
343.55,343.13,346.5,342.83,,02/21/18
345.12,343.72,345.2,342.99,,02/20/18
345.9,345.37,346.18,345.29,,02/19/18
345.4,345.57,347.12,344.78,,02/16/18
341.32,344.62,345.05,341.19,,02/15/18
336.3,340.44,341.07,335.54,,02/14/18
335.6,336.27,336.64,334.72,,02/13/18
331.56,335.24,336.51,331.53,,02/12/18
330.36,331.38,332.63,325.62,,02/09/18
339.58,331.39,339.83,331.22,,02/08/18
340.57,339.49,342.74,339.13,,02/07/18
339.51,339.21,339.91,332.86,,02/06/18
350.93,341.28,350.96,341.1,,02/05/18
357.97,351.59,358.01,351.54,,02/02/18
358.24,357.96,358.92,357.22,,02/01/18
358.08,358.15,359.4,356.98,,01/31/18
361.49,358.07,361.51,357.79,,01/30/18
364.01,361.6,364.04,361.55,,01/29/18
360.36,363.83,363.83,360.28,,01/26/18
360.92,361.51,362.18,359.72,,01/25/18
360.57,361.09,362.5,360.38,,01/24/18
359.05,360.5,360.67,359.05,,01/23/18
356.59,358.73,358.78,356.3,,01/22/18
355.24,356.58,356.6,355.03,,01/19/18
355.12,354.9,355.47,354.64,,01/18/18
353.59,355.24,355.7,353.06,,01/17/18
353.77,353.51,355.55,353.31,,01/16/18
353.42,353.98,354.08,353.38,,01/15/18
350.56,352.65,353.2,350.37,,01/12/18
348.52,350.34,350.47,348.26,,01/11/18
349.1,349.03,349.6,348.14,,01/10/18
348.72,349.15,349.63,348.55,,01/09/18
348.38,348.66,348.66,347.92,,01/08/18
346.36,348.26,348.38,346.18,,01/05/18
343.64,346.03,346.46,343.6,,01/04/18
341.74,343.26,343.37,341.72,,01/03/18
339.32,341.7,341.79,339.32,,01/02/18
339.63,339.33,340.57,339.23,,12/29/17
338.91,339.59,339.7,338.89,,12/28/17
338.1,338.77,339.04,338.02,,12/27/17
338.37,338,338.37,337.94,,12/26/17
338.14,338.13,338.41,338.11,,12/25/17
338.07,338.07,338.39,337.84,,12/22/17
337.01,337.99,338.59,336.71,,12/21/17
337.56,337.2,338.13,337.03,,12/20/17
338.14,337.3,338.57,337.3,,12/19/17
335.51,338.31,338.64,335.47,,12/18/17
334.13,335.22,335.52,333.81,,12/15/17
335.6,334.24,335.84,334.24,,12/14/17
334.85,335.03,336.21,334.79,,12/13/17
334.45,334.68,335.11,334.23,,12/12/17
333.36,334.59,334.59,333.25,,12/11/17
331.46,333.17,333.31,331.41,,12/08/17
331.04,331.43,331.75,330.56,,12/07/17
332.01,330.74,332.01,330.43,,12/06/17
333.18,332.15,333.48,332.1,,12/05/17
332.84,333.17,335.12,332.51,,12/04/17
333.96,332.76,334,331.22,,12/01/17
332.83,334.04,334.28,332.36,,11/30/17
333.63,333.12,334.06,332.75,,11/29/17
331.5,333.23,333.36,331.16,,11/28/17
332.33,331.65,332.43,331.42,,11/27/17
331.41,332.46,332.6,331.34,,11/24/17
331.59,331.53,331.79,331.15,,11/23/17
331,331.18,331.8,330.95,,11/22/17
328.67,330.54,330.84,328.57,,11/21/17
328.06,328.43,328.62,327.75,,11/20/17
328.51,328.08,329.01,327.99,,11/17/17
325.64,328.08,328.34,325.56,,11/16/17
327.3,325.53,327.34,325.03,,11/15/17
327.92,327.39,328.18,326.7,,11/14/17
328.3,328.03,328.41,327.12,,11/13/17
329.28,328.9,329.41,328.44,,11/10/17
330.77,329.38,331.22,328.42,,11/09/17
330.16,330.59,330.69,329.85,,11/08/17
330.42,330.03,330.93,329.69,,11/07/17
329.64,329.9,330.49,329.23,,11/06/17
329.37,329.64,329.68,328.72,,11/03/17
329.26,329.41,329.7,328.51,,11/02/17
328.41,329.15,330.07,328.39,,11/01/17
327.69,328.16,328.39,327.64,,10/31/17
327.86,327.75,328.29,327.48,,10/30/17
326.25,327.54,327.88,325.77,,10/27/17
